[RESULT] [ 83124.242868] Action name :RVS-GPUP-TC1
[RESULT] [ 83124.283880] Module name :gpup
[RESULT] [ 83124.284206] [RVS-GPUP-TC1] gpup 17010 7 version_minor 0
[RESULT] [ 83124.284206] [RVS-GPUP-TC1] gpup 17010 7 node_from 2
[RESULT] [ 83124.284206] [RVS-GPUP-TC1] gpup 17010 7 node_to 9
[RESULT] [ 83124.284206] [RVS-GPUP-TC1] gpup 17010 7 weight 15
[RESULT] [ 83124.284207] [RVS-GPUP-TC1] gpup 17010 7 min_latency 0
[RESULT] [ 83124.284207] [RVS-GPUP-TC1] gpup 17010 7 max_latency 0
[RESULT] [ 83124.284207] [RVS-GPUP-TC1] gpup 17010 7 min_bandwidth 76000
[RESULT] [ 83124.284207] [RVS-GPUP-TC1] gpup 17010 7 max_bandwidth 76000
[RESULT] [ 83124.284208] [RVS-GPUP-TC1] gpup 17010 7 recommended_transfer_size 0
[RESULT] [ 83124.284208] [RVS-GPUP-TC1] gpup 17010 7 recommended_sdma_engine_id_mask 64
[RESULT] [ 83124.284208] [RVS-GPUP-TC1] gpup 17010 7 flags 1
[RESULT] [ 83124.284213] [RVS-GPUP-TC1] gpup 42583 cpu_cores_count 0
[RESULT] [ 83124.284214] [RVS-GPUP-TC1] gpup 42583 simd_count 1024
[RESULT] [ 83124.284214] [RVS-GPUP-TC1] gpup 42583 mem_banks_count 1
[RESULT] [ 83124.284214] [RVS-GPUP-TC1] gpup 42583 caches_count 548
[RESULT] [ 83124.284215] [RVS-GPUP-TC1] gpup 42583 io_links_count 8
[RESULT] [ 83124.284215] [RVS-GPUP-TC1] gpup 42583 p2p_links_count 1
[RESULT] [ 83124.284215] [RVS-GPUP-TC1] gpup 42583 cpu_core_id_base 0
[RESULT] [ 83124.284216] [RVS-GPUP-TC1] gpup 42583 simd_id_base 2147487780
[RESULT] [ 83124.284216] [RVS-GPUP-TC1] gpup 42583 max_waves_per_simd 8
[RESULT] [ 83124.284216] [RVS-GPUP-TC1] gpup 42583 lds_size_in_kb 160
[RESULT] [ 83124.284216] [RVS-GPUP-TC1] gpup 42583 gds_size_in_kb 0
[RESULT] [ 83124.284217] [RVS-GPUP-TC1] gpup 42583 num_gws 64
[RESULT] [ 83124.284217] [RVS-GPUP-TC1] gpup 42583 wave_front_size 64
[RESULT] [ 83124.284217] [RVS-GPUP-TC1] gpup 42583 array_count 32
[RESULT] [ 83124.284218] [RVS-GPUP-TC1] gpup 42583 simd_arrays_per_engine 1
[RESULT] [ 83124.284218] [RVS-GPUP-TC1] gpup 42583 cu_per_simd_array 9
[RESULT] [ 83124.284218] [RVS-GPUP-TC1] gpup 42583 simd_per_cu 4
[RESULT] [ 83124.284218] [RVS-GPUP-TC1] gpup 42583 max_slots_scratch_cu 32
[RESULT] [ 83124.284219] [RVS-GPUP-TC1] gpup 42583 gfx_target_version 90500
[RESULT] [ 83124.284219] [RVS-GPUP-TC1] gpup 42583 vendor_id 4098
[RESULT] [ 83124.284219] [RVS-GPUP-TC1] gpup 42583 device_id 30115
[RESULT] [ 83124.284220] [RVS-GPUP-TC1] gpup 42583 location_id 1280
[RESULT] [ 83124.284220] [RVS-GPUP-TC1] gpup 42583 domain 0
[RESULT] [ 83124.284220] [RVS-GPUP-TC1] gpup 42583 drm_render_minor 136
[RESULT] [ 83124.284221] [RVS-GPUP-TC1] gpup 42583 hive_id 15543770012376183955
[RESULT] [ 83124.284221] [RVS-GPUP-TC1] gpup 42583 num_sdma_engines 2
[RESULT] [ 83124.284221] [RVS-GPUP-TC1] gpup 42583 num_sdma_xgmi_engines 14
[RESULT] [ 83124.284222] [RVS-GPUP-TC1] gpup 42583 num_sdma_queues_per_engine 8
[RESULT] [ 83124.284222] [RVS-GPUP-TC1] gpup 42583 num_cp_queues 24
[RESULT] [ 83124.284222] [RVS-GPUP-TC1] gpup 42583 cwsr_size 22687744
[RESULT] [ 83124.284224] [RVS-GPUP-TC1] gpup 42583 ctl_stack_size 12288
[RESULT] [ 83124.284224] [RVS-GPUP-TC1] gpup 42583 max_engine_clk_fcompute 2400
[RESULT] [ 83124.284225] [RVS-GPUP-TC1] gpup 42583 local_mem_size 0
[RESULT] [ 83124.284225] [RVS-GPUP-TC1] gpup 42583 fw_version 34
